service,level,count,first_seen,last_seen
booking-agent-router,ERROR,1,2026-06-30T10:12:18Z,2026-06-30T10:12:18Z
booking-agent-router,INFO,1,2026-06-30T10:08:34Z,2026-06-30T10:08:34Z
booking-agent-router,WARNING,1,2026-06-30T10:03:45Z,2026-06-30T10:03:45Z
capacity-indicator,ERROR,1,2026-06-30T10:06:12Z,2026-06-30T10:06:12Z
capacity-indicator,INFO,2,2026-06-30T10:00:00Z,2026-06-30T10:01:15Z
capacity-indicator,WARNING,1,2026-06-30T10:13:29Z,2026-06-30T10:13:29Z
eligibility-check,DEBUG,1,2026-06-30T10:05:00Z,2026-06-30T10:05:00Z
eligibility-check,INFO,2,2026-06-30T10:10:56Z,2026-06-30T10:15:51Z
ticketing-sync,DEBUG,1,2026-06-30T10:14:40Z,2026-06-30T10:14:40Z
ticketing-sync,ERROR,2,2026-06-30T10:02:30Z,2026-06-30T10:09:45Z
ticketing-sync,UNKNOWN,1,2026-06-30T10:07:23Z,2026-06-30T10:07:23Z
